barcode,description
8426617014254,54.HARIBRO.SANDIA.90G
5410358452966,HARIBO CHAMALLOWS T COL 90G
8426617014568,HARIBRO FRESAS CON NATA 100
8426617010102,HARIBRO DINOSAURIOS PIKA 100G
8426617013189,HARIBRO LADRILLOS FRESA PIKA 100G
4001686376812,HARIBRO SUPER MARIO BRILLO 80G
8426617013677,77.HARIBRO.BALLABITES.100G
8410573105217,PALOMITAS POP UP MANTEQUILLA PACK
8410573105200,PALOMITAS POP UP SAL PACK 2X 100G
8410087122618,CROISS CHOCO 3U
8410087250267,BOER SABOR COCO 16U 210G
80957515,TUBO MENTOS FRESA 30G
80733119,TUBO MENTOS PURE FRESH 30G
80931348,TUBO MENTOS MANZANA VERDE 30G
80733089,TUBO MENTOS FRESH MINT 30G
7622201814717,EXP TRIDENT 14G AZUL 14G
7622201814229,EXP TRIDENT VERDE 14G
7622201789411,EXP TRIDEN EXTREME MENTHOL 14G
7622201814298,EXP TRIDEN FRESA 14G
8410261643007,07.SIMONLIFE.NARANJA.330ML
8420335660052,52.FRUTOS/S.APERITIVOS.90G.LA.BATURRICA
8420335660298,BOLSA COCTEL MEXI/P  LA BAT 100G
8420335660274,74.FRUTOS/S.APERITIVOS.130G.LA.BATURRIC
8410416004400,00.ENSALADILLA.RUSA.240G
8410416003250,50.PISTO.VERDURA.CARRETILLA
8410416005070,70.PAELLA.VERD/POLLO.CARRETILLA
8410376046830,GULLON MINI CHOCO CHIPS 175G
8410376008326,SANDWICH DUO PACK GULLON
8425217000179,79.GOFRE CHOCOLATE 110+30G
80310891,91.KINDER.JOY.STRANGER.THINGS
3664346301800,BOLSA GOMMY JELLY 52G
3664346301763,BOLSA PIKOTAS 52G
8410740903622,LACASITOS CHOCO LECHE 65G
8410740904926,CONGUITOS PARTY 70G
5410126716016,GALLETA BISCOFF CAR LOTUS 250G
5410126676358,58.G/BISCOFF.CHOCOLATE.LOTUS.110G
8436537526249,49.ENERDRIK.P/COCONUT.250ML
8436537525563,63.ENERDRINK.AP/MELON.250ML
8436537526713,13.ENERDRINK.STRAWBERRY.250ML
8436537526737,37.ENERDRINK.W.UVA.250ML
8436537527505,05.ENERDRINK.BLACKBERRY.250ML
8426617013400,00.HARIBRO.FAVORITA.PICA.90G
8428594500027,JUDIAS BLANCA 500G
8428594500058,JUDIAS CARRILLA 500G
8428594500065,JUDIAS PINTA NACIONAL 500G
8428594003856,JUDIA ROJA 1KG
8428594003238,JUDIA MICHIGAN 1KG
8428594500041,LETEJA VERDINA 500G
8428594500034,LENTEJAS CASTELLANA 500G
8428594002446,GARBANZO BLANCO L 500G
8428594005904,ARROZ LARGO 1KG
8428594005898,ARROZ REDONDO 1KG
8428594002293,ARROZ VAPORIZADO 1KG
8428594002705,GUISANTE VERDE 800G
8428594002712,HABAS PELADAS 800G
8428594005607,LENTEJA ROJA 800G
8011033011279,COUS COUS MARRAKECH 1GK
8410022000278,78.DONUTS.GLACE.2X52G
8410022000285,85.DONUTS.BOMBON.2X55G
8410022114944,44.DONETTES.CLASICOS.6U
8410022114951,DONETTES RAYADO 6U
8410022117938,38.BOLLYCAO.CACAO.BIMBO
8410022114807,07.QE.MOFFIN.RELLENO.
8410022116443,QE NAPOLITANA CACAO
8411062062042,QE CAÑA CHOCO
8410022111219,QE CAÑA DALMATA
8410022012134,34.QE.PALMERA.CHOCO.BLACK
8410022117242,QE GOFRE SABOR CHOCO
8410022116498,MAGDALENAS 9U LA BELLA ESO
8410099573675,WEIKIS LECHE LA BELLA ESO
8412600100325,25.PAN SIN CORTEZA 450G BIMBO
8412600013854,54.PAN.S/C.NATURAL.100%.450G
8412600018316,BIMBO BAGELS CLASICO 4U
8412600018323,BIMBO BAGELS SEMILLA
8412600013014,BIMBO 50%+50%
8412600019696,96.PAN.MOLDE.BIMBO.430G
8412600019788,88.MAXI.BURGER.4U.BIMBO
8412600019795,95.PAN.HOTDOG.4U.BIMBO
8412600028568,68.REBANADA.ARTESANA.500G
8412600038604,BIMBO ZERO ZERO
8412600027097,RAPIDITA CLASICA 8U
8412600025536,36.PANTERA.ROSA.PACK.BIMBO
8412600025529,TIGRE TON 3U BIMBO
8412600027530,30.BONY.3U.BIMBO
8412600013618,PINGUINOS 3U BIMBO
8412600018378,78.TAKIS.NINJA.TERIYAKI.90G
8412600048597,99.TAKIS.FUEGO.90G
8412600028605,05.TAKIS.QUESO.VOLCANO.90G
8412600019764,64.TAKIS.INTENSE.NACHO.90G
8412600019924,24.TAKIS.DRAGON.SWEET.CHILI
8412600028131,31.RUSTIK.CEREALS.400G
8412600028124,24.ROSTIK.CLASIC.400G
8410022116467,GALLETA DONUT BOLACHA RECHELO
8410022117105,DONUTS CHOCO WAFER
8410022117174,DONUTS BISCUIT FOURRE
8412600037355,55.ORTIZ.PAN.BRASA.TRADIC
5449000205568,SPRITE 2L
